scenario,jour,bloc_30min,power_W,Wh_bloc
Foyer_Modeste,2,5,0.001,0.0005
Foyer_Modeste,2,6,0.001,0.0005
Foyer_Modeste,2,7,0.001,0.0005
Foyer_Modeste,2,8,0.001,0.0005
Foyer_Modeste,2,9,0.001,0.0005
Foyer_Modeste,2,10,85.11900380721248,42.55950190360624
Foyer_Modeste,2,11,159.5972571385234,79.7986285692617
Foyer_Modeste,2,12,159.5972571385234,79.7986285692617
Foyer_Modeste,2,13,159.5972571385234,79.7986285692617
Foyer_Modeste,2,14,159.5972571385234,79.7986285692617
Foyer_Modeste,2,15,159.5972571385234,79.7986285692617
Foyer_Modeste,2,16,159.5972571385234,79.7986285692617
Foyer_Modeste,2,17,159.5972571385234,79.7986285692617
Foyer_Modeste,2,18,159.5972571385234,79.7986285692617
Foyer_Modeste,2,19,159.5972571385234,79.7986285692617
Foyer_Modeste,2,20,159.5972571385234,79.7986285692617
Foyer_Modeste,2,21,159.5972571385234,79.7986285692617
Foyer_Modeste,2,22,159.5972571385234,79.7986285692617
Foyer_Modeste,2,23,159.5972571385234,79.7986285692617
Foyer_Modeste,2,24,159.5972571385234,79.7986285692617
Foyer_Modeste,2,25,159.5972571385234,79.7986285692617
Foyer_Modeste,2,26,196.56645646287103,98.28322823143552
Foyer_Modeste,2,27,212.406101123693,106.2030505618465
Foyer_Modeste,2,28,208.60575012163716,104.30287506081858
Foyer_Modeste,2,29,205.8750734954656,102.9375367477328
Foyer_Modeste,2,30,93.63699610539068,46.81849805269534
Foyer_Modeste,2,31,48.54291936364416,24.27145968182208
Foyer_Modeste,2,32,47.559720197822074,23.779860098911037
Foyer_Modeste,2,33,53.297065451799874,26.648532725899937
Foyer_Modeste,2,34,50.02743427087653,25.013717135438267
Foyer_Modeste,2,35,50.87611457654106,25.43805728827053
Foyer_Modeste,2,36,54.088449196976384,27.044224598488192
Foyer_Modeste,2,37,68.50535471747405,34.252677358737024
Foyer_Modeste,2,38,99.9601048584278,49.9800524292139
Foyer_Modeste,2,39,157.71577949437307,78.85788974718653
Foyer_Modeste,2,40,118.23609827769424,59.11804913884712
Foyer_Modeste,2,41,113.10749129292766,56.55374564646383
Foyer_Modeste,2,42,102.73679860806035,51.36839930403018
Foyer_Modeste,2,43,112.88956555344035,56.444782776720174
Foyer_Modeste,2,44,111.95303749916467,55.97651874958233
Foyer_Modeste,2,45,110.29952897473693,55.149764487368465
Foyer_Modeste,2,46,30.186253577209623,15.093126788604811
Foyer_Modeste,2,47,0.001,0.0005
Foyer_Modeste,3,0,0.0,0.0
